,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2019-05-05,HOU,1018,9.8%,18.9%,0.5,.283,.356,.518,.875,.236,.305,168,43.8,.368,136,Vs. All
1,2019-05-05,TBR,976,10.5%,22.7%,0.5,.262,.345,.457,.802,.195,.315,140,20.7,.342,118,Vs. All
2,2019-05-05,STL,1038,9.5%,20.3%,0.5,.280,.357,.437,.794,.157,.334,146,19.7,.341,113,Vs. All
3,2019-05-05,LAA,998,10.3%,15.3%,0.7,.255,.339,.444,.783,.189,.266,136,14.6,.333,113,Vs. All
4,2019-05-05,MIN,957,8.0%,19.2%,0.4,.249,.314,.499,.814,.250,.256,136,19.5,.342,112,Vs. All
5,2019-05-05,SEA,1053,9.9%,26.4%,0.4,.243,.323,.451,.774,.208,.292,140,11.9,.330,112,Vs. All
6,2019-05-05,NYY,996,9.8%,22.0%,0.4,.259,.338,.450,.788,.190,.298,138,16.2,.337,110,Vs. All
7,2019-05-05,CHC,940,10.7%,23.4%,0.5,.245,.338,.454,.792,.208,.288,129,14.9,.336,109,Vs. All
8,2019-05-05,ATL,1063,9.8%,21.4%,0.5,.264,.341,.448,.789,.184,.310,145,16.0,.336,107,Vs. All
9,2019-05-05,TEX,952,9.7%,23.8%,0.4,.256,.334,.455,.789,.199,.309,132,15.7,.337,104,Vs. All
10,2019-05-05,LAD,1055,10.3%,22.3%,0.5,.243,.328,.421,.748,.177,.285,131,3.0,.321,102,Vs. All
11,2019-05-05,CHW,988,7.8%,26.6%,0.3,.256,.322,.420,.742,.164,.326,123,2.3,.319,101,Vs. All
12,2019-05-05,KCR,1105,9.7%,23.3%,0.4,.246,.323,.438,.761,.192,.294,140,5.8,.323,101,Vs. All
13,2019-05-05,BOS,1000,11.4%,20.7%,0.6,.253,.344,.418,.762,.165,.294,131,9.0,.327,101,Vs. All
14,2019-05-05,NYM,1067,9.5%,24.0%,0.4,.243,.325,.403,.728,.160,.298,127,-2.8,.315,100,Vs. All
15,2019-05-05,OAK,977,9.1%,19.5%,0.5,.247,.323,.408,.732,.161,.281,118,-0.6,.316,100,Vs. All
16,2019-05-05,ARI,1016,7.8%,22.3%,0.3,.255,.321,.441,.762,.186,.303,130,6.2,.324,100,Vs. All
17,2019-05-05,DET,871,8.0%,25.5%,0.3,.255,.321,.413,.734,.158,.325,105,-0.6,.316,97,Vs. All
18,2019-05-05,WSN,1049,9.2%,24.9%,0.4,.249,.324,.425,.749,.175,.302,132,3.9,.321,97,Vs. All
19,2019-05-05,PHI,1060,9.4%,23.3%,0.4,.243,.323,.411,.734,.168,.297,127,-1.8,.316,95,Vs. All
20,2019-05-05,MIL,1064,8.5%,25.8%,0.3,.239,.311,.429,.740,.190,.284,129,-0.6,.315,94,Vs. All
21,2019-05-05,CIN,1001,8.8%,23.8%,0.4,.225,.300,.426,.726,.201,.249,114,-7.7,.308,88,Vs. All
22,2019-05-05,TOR,945,7.4%,26.7%,0.3,.245,.304,.394,.698,.149,.315,102,-12.9,.300,87,Vs. All
23,2019-05-05,BAL,1017,7.2%,21.5%,0.3,.242,.302,.394,.696,.152,.286,109,-14.8,.299,86,Vs. All
24,2019-05-05,SDP,978,6.6%,27.8%,0.2,.221,.280,.418,.698,.197,.265,103,-16.6,.297,86,Vs. All
25,2019-05-05,COL,1063,8.0%,23.6%,0.3,.246,.310,.444,.754,.198,.294,130,0.4,.319,82,Vs. All
26,2019-05-05,PIT,938,6.6%,24.3%,0.3,.235,.290,.377,.667,.142,.293,90,-24.5,.285,77,Vs. All
27,2019-05-05,CLE,923,9.9%,25.0%,0.4,.222,.306,.360,.666,.138,.275,92,-20.0,.291,77,Vs. All
28,2019-05-05,SFG,953,7.3%,24.0%,0.3,.222,.280,.361,.642,.140,.270,82,-33.6,.275,71,Vs. All
29,2019-05-05,MIA,913,7.1%,25.2%,0.3,.216,.280,.304,.584,.088,.277,67,-44.4,.260,63,Vs. All
