,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2019-05-04,HOU,1012,10.0%,19.4%,0.5,.280,.354,.507,.862,.227,.306,162,39.4,.364,133,Vs. All
1,2019-05-04,TBR,1016,10.1%,22.6%,0.4,.263,.344,.461,.805,.198,.316,146,22.1,.343,118,Vs. All
2,2019-05-04,MIN,963,7.7%,19.1%,0.4,.254,.316,.511,.827,.257,.261,140,22.9,.346,115,Vs. All
3,2019-05-04,LAA,994,10.4%,15.3%,0.7,.256,.340,.443,.783,.187,.269,135,14.6,.334,113,Vs. All
4,2019-05-04,SEA,1052,9.9%,26.5%,0.4,.240,.320,.451,.771,.211,.287,138,10.7,.329,111,Vs. All
5,2019-05-04,STL,1030,9.6%,20.7%,0.5,.274,.352,.432,.784,.158,.327,141,15.7,.337,110,Vs. All
6,2019-05-04,NYY,964,9.5%,21.6%,0.4,.260,.337,.453,.790,.193,.297,133,15.7,.338,110,Vs. All
7,2019-05-04,ATL,1058,9.6%,21.4%,0.5,.266,.342,.452,.794,.186,.312,146,17.5,.338,108,Vs. All
8,2019-05-04,CHC,944,10.5%,24.4%,0.4,.244,.337,.447,.784,.203,.290,128,12.8,.333,107,Vs. All
9,2019-05-04,ARI,1020,7.9%,22.1%,0.4,.262,.329,.460,.789,.198,.309,139,14.8,.335,106,Vs. All
10,2019-05-04,LAD,1061,10.5%,22.3%,0.5,.248,.331,.429,.760,.181,.290,136,6.6,.325,105,Vs. All
11,2019-05-04,CHW,992,8.2%,26.0%,0.3,.260,.328,.424,.752,.164,.329,126,5.5,.324,104,Vs. All
12,2019-05-04,KCR,1065,9.9%,23.2%,0.4,.248,.326,.442,.769,.194,.296,138,8.2,.326,103,Vs. All
13,2019-05-04,MIL,1076,8.7%,25.6%,0.3,.247,.320,.447,.766,.199,.292,139,8.7,.326,101,Vs. All
14,2019-05-04,NYM,1035,9.7%,23.9%,0.4,.244,.329,.404,.733,.160,.300,125,-1.1,.317,101,Vs. All
15,2019-05-04,BOS,998,10.8%,20.2%,0.5,.253,.340,.424,.764,.170,.291,130,8.9,.328,101,Vs. All
16,2019-05-04,OAK,960,9.0%,19.8%,0.5,.248,.323,.411,.734,.163,.283,117,-0.1,.317,100,Vs. All
17,2019-05-04,TEX,950,9.8%,24.7%,0.4,.250,.330,.443,.773,.194,.306,126,10.7,.331,100,Vs. All
18,2019-05-04,WSN,1015,9.3%,24.8%,0.4,.252,.327,.430,.757,.178,.305,130,6.2,.325,99,Vs. All
19,2019-05-04,PHI,1065,9.8%,22.8%,0.4,.247,.329,.415,.743,.168,.300,131,1.8,.320,98,Vs. All
20,2019-05-04,DET,829,7.8%,25.3%,0.3,.255,.321,.413,.734,.158,.325,100,-1.0,.316,97,Vs. All
21,2019-05-04,SDP,984,6.9%,27.4%,0.3,.223,.284,.417,.700,.194,.266,104,-15.8,.299,86,Vs. All
22,2019-05-04,BAL,1017,7.2%,21.5%,0.3,.242,.302,.394,.696,.152,.286,108,-15.1,.300,85,Vs. All
23,2019-05-04,CIN,995,8.6%,24.0%,0.4,.223,.298,.414,.711,.191,.252,109,-12.0,.303,85,Vs. All
24,2019-05-04,TOR,945,7.4%,27.5%,0.3,.242,.301,.390,.690,.148,.314,99,-16.0,.297,84,Vs. All
25,2019-05-04,COL,1068,8.3%,23.8%,0.4,.246,.312,.449,.760,.203,.291,132,2.6,.322,83,Vs. All
26,2019-05-04,CLE,922,9.9%,25.2%,0.4,.224,.309,.370,.679,.145,.277,95,-16.5,.296,79,Vs. All
27,2019-05-04,PIT,921,6.4%,24.3%,0.3,.236,.289,.376,.665,.141,.295,87,-25.0,.284,76,Vs. All
28,2019-05-04,SFG,959,7.3%,23.5%,0.3,.223,.282,.357,.639,.134,.272,82,-34.6,.275,70,Vs. All
29,2019-05-04,MIA,906,7.4%,25.7%,0.3,.214,.280,.304,.584,.089,.277,66,-44.4,.260,62,Vs. All
