,Date,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
23,2018-04-14,WSN,159,561,480,109,69,23,1,16,56,54,67,7,120,7,4,3,9,15,3,.227
24,2018-04-14,SDP,163,557,507,113,70,24,3,16,51,48,39,2,139,9,0,2,10,4,3,.223
25,2018-04-14,PHI,131,465,399,88,51,22,1,14,60,59,54,6,123,2,6,3,5,11,5,.221
26,2018-04-14,BAL,141,559,501,110,74,22,1,13,47,46,49,3,154,4,3,2,10,6,1,.220
27,2018-04-14,DET,126,507,453,98,61,29,3,5,49,48,43,2,106,7,4,0,6,8,4,.216
28,2018-04-14,TBR,131,491,431,93,70,13,4,6,40,39,52,0,122,2,4,2,7,6,4,.216
29,2018-04-14,CLE,141,514,460,92,62,16,0,14,49,47,47,4,112,5,0,1,8,13,2,.200
0,2018-04-15,LAA,157,656,598,174,117,26,5,26,103,97,42,3,109,9,6,1,11,8,0,.291
1,2018-04-15,BOS,141,568,501,137,79,43,2,13,86,80,55,4,92,6,5,1,7,7,3,.273
2,2018-04-15,SEA,125,456,406,111,73,22,1,15,61,58,38,2,89,7,3,2,11,8,2,.273
3,2018-04-15,ATL,162,577,500,135,80,37,2,16,82,78,60,6,113,6,3,8,12,9,4,.270
4,2018-04-15,PIT,144,548,483,128,78,28,4,18,80,75,54,6,91,3,4,3,6,8,7,.265
5,2018-04-15,OAK,147,582,519,137,92,22,2,21,72,69,52,1,134,7,4,0,12,3,1,.264
6,2018-04-15,STL,166,586,515,129,88,18,0,23,71,69,56,2,140,6,6,3,12,9,4,.250
7,2018-04-15,HOU,147,575,500,125,86,23,2,14,66,64,60,0,138,7,7,1,11,7,2,.250
8,2018-04-15,NYY,135,569,496,122,72,29,3,18,77,75,61,3,126,6,4,2,12,8,3,.246
9,2018-04-15,SFG,160,535,484,119,88,16,2,13,45,41,40,5,129,2,4,5,12,9,2,.246
10,2018-04-15,MIL,177,583,532,130,85,27,0,18,54,54,38,3,135,6,2,5,12,9,3,.244
11,2018-04-15,ARI,156,547,478,115,64,29,6,16,75,73,59,2,134,3,4,3,8,8,2,.241
12,2018-04-15,MIN,115,425,376,90,50,25,1,14,51,48,46,0,107,1,2,0,7,8,0,.239
13,2018-04-15,CHC,165,589,512,122,70,31,6,15,72,65,57,9,133,15,1,3,8,4,2,.238
14,2018-04-15,LAD,155,520,471,112,79,21,1,11,47,43,40,3,102,2,4,3,12,3,3,.238
15,2018-04-15,WSN,169,598,514,121,78,25,1,17,62,60,70,7,127,7,4,3,10,17,3,.235
16,2018-04-15,NYM,151,491,421,99,61,23,2,13,62,58,55,6,119,8,4,3,13,3,4,.235
17,2018-04-15,CHW,118,461,401,94,56,19,2,17,48,48,42,0,123,13,4,1,13,10,2,.234
18,2018-04-15,PHI,140,507,437,101,59,26,1,15,69,68,57,6,126,2,7,3,6,11,5,.231
19,2018-04-15,TEX,151,596,533,123,83,23,0,17,52,49,51,1,145,7,3,2,10,4,5,.231
20,2018-04-15,KCR,122,471,425,98,71,19,3,5,39,35,36,1,96,6,3,1,11,4,4,.231
21,2018-04-15,SDP,174,596,541,124,77,26,3,18,56,53,43,2,148,9,1,2,11,4,3,.229
22,2018-04-15,MIA,169,563,502,115,91,15,2,7,46,41,47,4,123,8,2,3,14,4,2,.229
23,2018-04-15,TOR,139,523,465,106,60,24,2,20,72,68,50,2,130,5,3,0,7,8,2,.228
24,2018-04-15,CIN,163,529,470,107,83,14,1,9,42,39,47,1,130,4,2,6,11,9,1,.228
25,2018-04-15,BAL,150,594,535,119,79,25,1,14,50,49,50,3,163,4,3,2,12,6,1,.222
26,2018-04-15,COL,177,588,528,116,73,20,2,21,60,58,52,3,155,1,3,4,11,8,3,.220
27,2018-04-15,TBR,141,527,462,101,75,16,4,6,44,43,55,0,126,2,6,2,10,6,4,.219
28,2018-04-15,DET,126,507,453,98,61,29,3,5,49,48,43,2,106,7,4,0,6,8,4,.216
29,2018-04-15,CLE,141,514,460,92,62,16,0,14,49,47,47,4,112,5,0,1,8,13,2,.200
