,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,Exp_Win_%_Home,Exp_Win_%_Away,vs_L_Adj_x,vs_R_Adj_x,vs_L_Adj_y,vs_R_Adj_y,BsR_Sc_Season_Home_Split,BsR_Sc_Season_Away_Split,xFIP_adj_Home,xFIP_adj_Away,BsR_Al_Season_Home,BsR_Al_Season_Away,Exp_Win_%_Home_Final,Exp_Win_%_Away_Final,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,Chi White Sox,L. Giolito,R,Cleveland,J. Rodriguez,R,-140.0,130.0,CLE,CHW,,,3.91,4.79,95.75705509270514,110.8846260538752,127.11102213663206,160.33326753642265,0.4332957641206462,0.39534137082666587,0.7236842105263158,1.105263157894737,0.9320388349514563,1.0388349514563107,105.8367451024636,132.0473725108702,,,,,,,,,,,0.5833333333333334,0.43478260869565216,,
1,1,Seattle,M. Gonzales,L,NY Yankees,M. Tanaka,R,-150.0,140.0,NYY,SEA,4.51,4.09,4.31,4.42,134.30526995530175,114.9511474125343,136.7957115906254,151.87255275870837,0.570713509052677,0.4523123726928194,1.0825688073394495,0.9908256880733946,0.8584905660377359,1.0471698113207548,133.07311151534486,117.43782787497085,1.0278422273781902,0.9552036199095022,118.15164339617793,145.0692121600151,0.5541966094534704,0.40451618801765354,0.6243082806326841,0.3881818350166025,0.6180632228080408,0.3819367771919592,0.6,0.4166666666666667,0.018063222808040846,-0.03472988947470751
2,2,Boston,H. Velazquez,R,Baltimore,D. Hess,R,,,BAL,BOS,6.43,,5.35,3.66,113.47820308346624,168.22467271375834,121.18587613059898,102.4353204497822,0.32729344476787037,0.5763022549291218,0.9069767441860465,1.0348837209302326,0.6907216494845361,1.1134020618556701,117.43674505149414,134.92860435159474,1.1211214953271027,,188.6002966237612,,0.29589432465987675,,,,,,,,,
3,3,Texas,A. Sampson,R,Pittsburgh,S. Brault,L,-135.0,125.0,PIT,TEX,,,4.39,5.14,89.68905581273474,104.05761598600903,128.74691825089064,124.91201619134738,0.43243318069667025,0.5138308061007774,0.7466666666666667,1.12,0.6132075471698113,1.0943396226415094,66.96782834017527,140.89285393493694,,,,,,,,,,,0.574468085106383,0.4444444444444444,,
4,4,Minnesota,J. Berrios,R,Toronto,A. Sanchez,R,120.0,-130.0,TOR,MIN,5.49,4.62,4.96,4.57,98.80066691367172,114.32629139807479,139.56762566624462,119.94230629090487,0.433621009723103,0.5688879087719153,0.9024390243902439,1.048780487804878,1.017391304347826,0.991304347826087,103.6202116411679,138.35399413871207,1.0641129032258065,1.0065645514223196,121.65608185464491,120.72967372826312,0.4271099949304838,0.5620186695673587,0.46634862690902096,0.5227400585589821,0.4718042841750194,0.5281957158249806,0.45454545454545453,0.5652173913043478,0.017258829629564876,-0.03702167547936719
5,4,Minnesota,J. Berrios,R,Toronto,A. Sanchez,R,120.0,-130.0,TOR,MIN,5.17,4.62,4.96,4.57,98.80066691367172,114.32629139807479,139.56762566624462,119.94230629090487,0.433621009723103,0.5688879087719153,0.9024390243902439,1.048780487804878,1.017391304347826,0.991304347826087,103.6202116411679,138.35399413871207,1.0254032258064516,1.0065645514223196,117.23054799407427,120.72967372826312,0.4437786410879409,0.5620186695673587,0.4765184071358412,0.514076912439839,0.48122074734800113,0.5187792526519989,0.45454545454545453,0.5652173913043478,0.026675292802546602,-0.046438138652348915
6,5,LA Angels,G. Canning,R,Detroit,D. Norris,L,130.0,-140.0,DET,LAA,,,4.43,4.94,99.83440233236152,117.97283804815612,124.52769221097631,144.15246342031955,0.4242127631479617,0.4334452055487042,0.8829787234042553,1.0319148936170213,0.7297297297297297,1.1261261261261262,88.15165312325539,140.23388762497333,,,,,,,,,,,0.43478260869565216,0.5833333333333334,,
7,6,Arizona,T. Clarke,R,Tampa Bay,R. Stanek,R,,,TBR,ARI,,,3.52,3.97,139.76283692289445,87.73686375938212,127.49029486131444,104.81675234422782,0.7009984270697864,0.5886440416003071,0.8455284552845529,1.056910569105691,1.2395833333333333,0.90625,147.71681951200227,115.53807971806621,,,,,,,,,,,,,,
8,8,Philadelphia,A. Nola,R,St. Louis,D. Hudson,R,-100.0,-110.0,STL,PHI,4.4,3.98,4.26,4.44,143.54995875188044,121.16861795182344,124.15467300294182,141.3129092174874,0.5769304199759939,0.4410527193707249,0.9210526315789473,1.0263157894736843,1.0212765957446808,0.9893617021276596,147.327589245351,122.8338786092935,1.0197183098591551,0.9378378378378377,123.55785830580308,132.52859323910303,0.5798083740408944,0.46530162011771997,0.5991647266451552,0.40960041804301595,0.5947821543010696,0.4052178456989304,0.5,0.5238095238095238,0.09478215430106962,-0.11859167811059346
9,9,Miami,C. Smith,L,Chi Cubs,J. Lester,L,,,CHC,MIA,,3.03,3.56,4.57,124.40480478548915,80.84275943545909,70.11621279651646,130.15596654401156,0.6875722433355096,0.24379213252318693,1.0186915887850467,1.0,0.5081967213114754,1.1147540983606556,126.73012823942352,35.63282945396738,,0.7978118161925601,,103.83996805677596,,0.12375543578481966,,,,,,,,
