,Date,Rot,VH,Team,Pitcher,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,hand,qp,concat,F5,game_id
561,2018-05-11,972,H,CLE,TBAUER-R,9,-240,-240.0,-1.5(-119),8.5,-119,8.5,100,R,Trevor Bauer,511972TBAUER-R,9,Game 562
562,2018-05-11,976,H,HOU,JVERLANDER-R,0,-260,-272.0,-1.5(-135),7.5,-110,8.5,-115,R,Justin Verlander,511976JVERLANDER-R,0,Game 563
563,2018-05-11,978,H,LAA,TSKAGGS-L,4,-175,-206.0,-1.5(+110),8.5,-110,8.0,-113,L,Tyler Skaggs,511978TSKAGGS-L,4,Game 564
564,2018-05-11,980,H,CUB,TCHATWOOD-R,11,-240,-244.0,-1.5(-115),7.5,-108,8.0,-101,R,Tyler Chatwood,511980TCHATWOOD-R,6,Game 565
565,2018-05-12,902,H,ARI,TSCRIBNER-R,1,163,160.0,+1.5(-102),8.0,-110,8.0,-114,,,512902TSCRIBNER-R,1,Game 566
566,2018-05-12,906,H,PIT,CKUHL-R,6,-135,-120.0,-1.5(+170),8.5,-101,8.5,-110,R,Chad Kuhl,512906CKUHL-R,3,Game 567
567,2018-05-12,908,H,MIA,JGARCIA-L,5,111,122.0,+1.5(-140),7.5,-101,8.0,-105,L,Jaime Garcia,512908JGARCIA-L,5,Game 568
568,2018-05-12,910,H,COL,KFREELAND-L,4,-130,-121.0,-1.5(+148),10.5,-101,11.0,-110,L,Kyle Freeland,512910KFREELAND-L,4,Game 569
569,2018-05-12,912,H,SDG,TROSS-R,2,115,107.0,+1.5(-156),7.5,-119,7.5,-119,R,Tyson Ross,512912TROSS-R,1,Game 570
570,2018-05-12,914,H,LAD,RSTRIPLING-R,3,-180,-177.0,-1.5(+115),8.0,-101,8.5,-119,R,Ross Stripling,512914RSTRIPLING-R,3,Game 571
571,2018-05-12,916,H,NYY,DGERMAN-R,7,-185,-190.0,-1.5(-108),9.0,100,9.0,-110,R,Domingo German,512916DGERMAN-R,6,Game 572
572,2018-05-12,918,H,TOR,MESTRADA-R,2,110,129.0,+1.5(-125),9.5,-115,9.5,-117,R,Marco Estrada,512918MESTRADA-R,1,Game 573
573,2018-05-12,920,H,CLE,MCLEVINGER-R,6,-205,-200.0,-1.5(-101),8.5,-105,8.5,-105,R,Mike Clevinger,512920MCLEVINGER-R,2,Game 574
574,2018-05-12,922,H,DET,MBOYD-L,4,110,140.0,+1.5(-125),9.0,-115,9.0,-115,L,Matthew Boyd,512922MBOYD-L,1,Game 575
575,2018-05-12,924,H,BAL,ACOBB-R,3,-117,-121.0,-1.5(+163),10.0,-110,9.5,-115,R,Alex Cobb,512924ACOBB-R,1,Game 576
576,2018-05-12,926,H,HOU,CMORTON-R,6,-255,-225.0,-1.5(-105),8.5,-110,8.5,-105,R,Charlie Morton,512926CMORTON-R,3,Game 577
577,2018-05-12,928,H,LAA,NTROPEANO-R,3,-155,-116.0,-1.5(+170),8.5,-110,8.5,-116,R,Nick Tropeano,512928NTROPEANO-R,1,Game 578
578,2018-05-12,930,H,CUB,JLESTER-L,8,-260,-258.0,-1.5(-125),7.5,-105,7.5,-104,L,Jon Lester,512930JLESTER-L,5,Game 579
579,2018-05-12,932,H,BAL,DHESS-R,6,115,113.0,+1.5(-145),9.0,-110,9.5,-110,R,David Hess,512932DHESS-R,5,Game 580
580,2018-05-12,934,H,DET,MFULMER-R,5,120,105.0,+1.5(-160),8.5,-110,8.5,-119,R,Michael Fulmer,512934MFULMER-R,5,Game 581
581,2018-05-13,952,H,MIA,JURENA-R,3,120,130.0,+1.5(-130),8.0,-119,8.0,-119,R,Jose Urena,513952JURENA-R,0,Game 582
582,2018-05-13,954,H,PHI,ANOLA-R,4,-130,-123.0,-1.5(+176),7.5,-120,6.5,105,R,Aaron Nola,513954ANOLA-R,0,Game 583
583,2018-05-13,956,H,PIT,INOVA-R,0,-140,-145.0,-1.5(+140),8.5,100,9.0,-115,R,Ivan Nova,513956INOVA-R,0,Game 584
584,2018-05-13,958,H,COL,JGRAY-R,3,-165,-160.0,-1.5(+118),11.0,-110,10.5,-105,R,Jon Gray,513958JGRAY-R,0,Game 585
585,2018-05-13,960,H,SDG,CRICHARD-L,5,125,114.0,+1.5(-150),8.5,-119,8.5,-115,L,Clayton Richard,513960CRICHARD-L,4,Game 586
586,2018-05-13,962,H,LAD,RHILL-L,3,-160,-153.0,-1.5(+148),8.5,-119,7.5,-105,L,Rich Hill,513962RHILL-L,1,Game 587
587,2018-05-13,964,H,ARI,ZGODLEY-R,4,-120,-121.0,-1.5(+166),8.0,100,8.5,-101,R,Zack Godley,513964ZGODLEY-R,1,Game 588
588,2018-05-13,966,H,NYY,LSEVERINO-R,6,-300,-315.0,-1.5(-150),8.5,-110,8.5,-124,R,Luis Severino,513966LSEVERINO-R,4,Game 589
589,2018-05-13,968,H,BAL,DBUNDY-R,17,110,-119.0,-1.5(+172),9.0,-110,8.0,-101,R,Dylan Bundy,513968DBUNDY-R,11,Game 590
590,2018-05-13,970,H,TOR,JBIAGINI-R,3,125,113.0,+1.5(-145),9.5,-110,9.5,-115,,,513970JBIAGINI-R,3,Game 591
591,2018-05-13,972,H,CLE,CKLUBER-R,11,-280,-261.0,-1.5(-130),8.5,-120,7.5,-109,R,Corey Kluber,513972CKLUBER-R,9,Game 592
592,2018-05-13,974,H,DET,BHARDY-L,5,165,201.0,+1.5(+125),8.5,-120,8.0,-105,L,Blaine Hardy,513974BHARDY-L,3,Game 593
593,2018-05-13,976,H,HOU,DKEUCHEL-L,6,-280,-290.0,-1.5(-153),9.0,-119,8.5,100,L,Dallas Keuchel,513976DKEUCHEL-L,3,Game 594
594,2018-05-13,978,H,LAA,SOHTANI-R,2,-155,-173.0,-1.5(+125),8.0,-119,7.5,-116,R,Shohei Ohtani,513978SOHTANI-R,1,Game 595
595,2018-05-13,980,H,CUB,KHENDRICKS-R,3,-265,-275.0,-1.5(-135),8.5,-110,8.5,-115,R,Kyle Hendricks,513980KHENDRICKS-R,3,Game 596
596,2018-05-14,902,H,ARI,PCORBIN-L,2,-155,-145.0,-1.5(+144),8.0,-115,8.0,-115,L,Patrick Corbin,514902PCORBIN-L,2,Game 597
597,2018-05-14,904,H,SDG,JLUCCHESI-L,4,105,-110.0,-1.5(+184),7.0,100,7.0,-130,L,Joey Lucchesi,514904JLUCCHESI-L,3,Game 598
598,2018-05-14,906,H,SFO,CSTRATTON-R,10,-140,-142.0,-1.5(+150),8.0,-115,8.5,-110,R,Chris Stratton,514906CSTRATTON-R,6,Game 599
599,2018-05-14,908,H,KAN,ESKOGLUND-L,1,105,-105.0,-1.5(+163),9.0,100,9.5,-112,L,Eric Skoglund,514908ESKOGLUND-L,1,Game 600
600,2018-05-14,910,H,DET,MFIERS-R,6,185,240.0,+1.5(+133),8.5,-110,8.0,100,R,Mike Fiers,514910MFIERS-R,3,Game 601
601,2018-05-14,912,H,BOS,RPORCELLO-R,5,-160,-156.0,-1.5(+130),9.0,-110,10.0,-120,R,Rick Porcello,514912RPORCELLO-R,3,Game 602
602,2018-05-14,914,H,LAA,AHEANEY-L,2,120,113.0,+1.5(-140),8.0,-110,8.5,-119,L,Andrew Heaney,514914AHEANEY-L,1,Game 603
603,2018-05-14,916,H,MIN,JODORIZZI-R,0,-120,-106.0,-1.5(+176),9.0,112,10.0,-117,R,Jake Odorizzi,514916JODORIZZI-R,0,Game 604
604,2018-05-14,918,H,CUB,JQUINTANA-L,5,-165,-150.0,-1.5(+144),8.0,-120,8.5,100,L,Jose Quintana,514918JQUINTANA-L,4,Game 605
605,2018-05-15,952,H,SDG,JLYLES-R,4,110,-105.0,-1.5(+184),8.0,-110,7.5,-130,R,Jordan Lyles,515952JLYLES-R,2,Game 606
