,Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RL,Open OU,Unnamed: 19,Close OU,Unnamed: 21,source,qp_match,fit,hand,qp,concat
3895,824,963,V,NYY,CSABATHIA-L,0,0,0,2,0,0,0,2,0,7,-175,-184.0,-1.5(-125),8.5,-120,9.0,102,CSABATHIA,CSabathia,100.0,L,CC Sabathia,824963CSABATHIA-L
3896,824,964,H,BAL,ACOBB-R,2,0,0,0,0,0,2,0,0,5,155,164.0,+1.5(+105),8.5,100,9.0,-122,ACOBB,ACobb,100.0,R,Alex Cobb,824964ACOBB-R
3897,824,965,V,BOS,HVELAZQUEZ-R,0,0,2,0,1,0,0,0,0,3,-148,-119.0,-1.5(+135),8.0,-120,8.5,100,,,,,,824965HVELAZQUEZ-R
3898,824,966,H,TAM,DCASTILLO-R,0,3,5,2,0,0,0,0,x,10,133,109.0,+1.5(-155),8.0,100,8.5,-120,,,,,,824966DCASTILLO-R
3899,824,967,V,CWS,RLOPEZ-R,0,0,0,0,0,0,0,6,0,6,125,125.0,+1.5(-167),9.0,100,8.0,-120,RLOPEZ,RLopez,100.0,R,Reynaldo Lopez,824967RLOPEZ-R
3900,824,968,H,DET,MFULMER-R,1,0,1,0,0,0,1,0,0,3,-140,-140.0,-1.5(+146),9.0,-120,8.0,100,MFULMER,MFulmer,100.0,R,Michael Fulmer,824968MFULMER-R
3901,824,969,V,OAK,SMANAEA-L,0,0,0,1,1,0,0,3,2,7,-145,-133.0,-1.5(+119),9.5,100,9.0,-123,SMANAEA,SManaea,100.0,L,Sean Manaea,824969SMANAEA-L
3902,824,970,H,MIN,JODORIZZI-R,0,0,0,1,0,0,0,0,0,1,130,118.0,+1.5(-139),9.5,-120,9.0,103,JODORIZZI,JOdorizzi,100.0,R,Jake Odorizzi,824970JODORIZZI-R
3903,824,971,V,CLE,MCLEVINGER-R,0,0,1,1,0,0,0,2,0,4,-220,-211.0,-1.5(-135),8.5,-120,9.5,100,MCLEVINGER,MClevinger,100.0,R,Mike Clevinger,824971MCLEVINGER-R
3904,824,972,H,KAN,BKELLER-R,3,0,0,0,0,0,0,0,2,5,195,186.0,+1.5(+115),8.5,100,9.5,-120,BKELLER,BKeller,100.0,R,Brad Keller,824972BKELLER-R
3905,824,973,V,HOU,DKEUCHEL-L,0,0,1,0,4,0,1,1,2,9,-140,-134.0,-1.5(+120),8.5,-110,8.0,100,DKEUCHEL,DKeuchel,100.0,L,Dallas Keuchel,824973DKEUCHEL-L
3906,824,974,H,LAA,AHEANEY-L,0,0,0,0,0,0,2,1,0,3,125,119.0,+1.5(-140),8.5,-110,8.0,-120,AHEANEY,AHeaney,100.0,L,Andrew Heaney,824974AHEANEY-L
3907,824,975,V,PHI,JARRIETA-R,1,0,0,0,0,0,1,0,0,2,-125,-129.0,-1.5(+115),9.0,100,9.0,-110,JARRIETA,JArrieta,100.0,R,Jake Arrieta,824975JARRIETA-R
3908,824,976,H,TOR,RBORUCKI-L,0,1,2,0,1,0,0,0,x,4,110,114.0,+1.5(-135),9.0,-120,9.0,-110,RBORUCKI,RBorucki,100.0,L,Ryan Borucki,824976RBORUCKI-L
3909,824,977,V,SEA,ERAMIREZ-R,0,0,4,0,1,1,0,0,0,6,140,145.0,+1.5(-150),8.5,-105,8.5,-119,ERAMIREZ,ERamirez,100.0,R,Erasmo Ramirez,824977ERAMIREZ-R
3910,824,978,H,ARI,ZGODLEY-R,0,0,0,0,1,2,0,0,0,3,-160,-165.0,-1.5(+130),8.5,-115,8.5,-101,ZGODLEY,ZGodley,100.0,R,Zack Godley,824978ZGODLEY-R
