,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
17,2018-05-03,Justin Verlander,HOU,47.2,176,11.7,1.5,7.8,0.8,35.2%,4.5%,30.7%,.145,0.67,.202,95.2%,2.34,3.33
18,2018-05-03,James Paxton,SEA,38.2,168,14.0,3.7,3.8,1.2,35.7%,9.5%,26.2%,.232,1.32,.349,75.6%,3.06,3.17
19,2018-05-03,Andrew Heaney,LAA,20.1,87,10.6,2.2,4.8,1.3,27.6%,5.8%,21.8%,.281,1.38,.364,58.8%,3.46,3.08
20,2018-05-03,Charlie Morton,HOU,36.2,145,11.0,3.2,3.5,1.0,31.0%,9.0%,22.1%,.177,0.98,.235,92.6%,3.35,2.83
21,2018-05-03,Marco Gonzales,SEA,28.2,122,9.7,1.6,6.2,0.9,25.4%,4.1%,21.3%,.302,1.40,.390,67.9%,2.99,2.78
22,2018-05-03,Lance McCullers Jr.,HOU,34.0,139,11.6,3.2,3.7,0.8,31.6%,8.6%,23.0%,.232,1.21,.333,72.2%,2.96,2.73
23,2018-05-03,Gerrit Cole,HOU,41.2,155,13.2,1.7,7.6,0.6,39.4%,5.2%,34.2%,.172,0.79,.272,84.4%,1.89,2.42
0,2018-05-04,Matt Moore,TEX,28.1,140,5.7,4.1,1.4,1.3,12.9%,9.3%,3.6%,.339,1.94,.372,59.2%,5.42,6.32
1,2018-05-04,Martin Perez,TEX,22.1,119,5.2,4.8,1.1,2.8,10.9%,10.1%,0.8%,.391,2.37,.400,66.4%,7.95,6.17
2,2018-05-04,Mike Leake,SEA,33.1,148,5.9,3.0,2.0,1.6,14.9%,7.4%,7.4%,.294,1.53,.315,64.2%,5.26,5.05
3,2018-05-04,Mike Minor,TEX,33.0,140,7.6,2.5,3.1,0.8,20.0%,6.4%,13.6%,.252,1.24,.302,71.1%,3.83,4.80
4,2018-05-04,Felix Hernandez,SEA,38.2,163,7.7,3.7,2.1,1.6,20.3%,9.8%,10.4%,.229,1.27,.250,73.5%,5.28,4.68
5,2018-05-04,Andrew Triggs,OAK,27.2,125,8.8,3.9,2.3,1.0,21.6%,9.6%,12.0%,.255,1.45,.313,69.6%,4.25,4.63
6,2018-05-04,Nick Tropeano,LAA,23.2,93,7.6,3.4,2.2,1.1,21.5%,9.7%,11.8%,.217,1.14,.250,79.8%,4.39,4.55
7,2018-05-04,Kendall Graveman,OAK,28.1,134,7.3,3.5,2.1,2.2,17.2%,8.2%,9.0%,.336,1.84,.370,57.9%,6.02,4.38
