,Unnamed: 0,Away Team,Away Pitcher,Away pHand,Home Team,Home Pitcher,Home pHand,Westgate Home Line,Westgate Away Line,Home Symbol,Away Symbol,xFIP_x,xFIP_y,Team xFIP_x,Team xFIP_y,BsR_Sc_Season_x,BsR_Al_Season_x,BsR_Sc_Season_y,BsR_Al_Season_y,Exp_Win_%_Home,Exp_Win_%_Away,vs_L_Adj_x,vs_R_Adj_x,vs_L_Adj_y,vs_R_Adj_y,BsR_Sc_Season_Home_Split,BsR_Sc_Season_Away_Split,xFIP_adj_Home,xFIP_adj_Away,BsR_Al_Season_Home,BsR_Al_Season_Away,Exp_Win_%_Home_Final,Exp_Win_%_Away_Final,Exp_Win_%_Home_Driver,Exp_Win_%_Away_Driver,Model_Win_%_Home,Model_Win_%_Away,Implied Win % Home,Implied Win % Away,EDGE % Home,EDGE % Away
0,0,San Francisco,D. Pomeranz,L,Cincinnati,A. DeSclafani,R,-145,135,CIN,SFG,4.62,4.2,3.8,4.3,118.81482713095959,103.17503131963052,91.6492027334852,118.21357590512518,0.5642146526134102,0.38561550779566794,0.9772727272727273,1.0113636363636365,0.9436619718309859,1.0422535211267605,120.16499562108415,86.48586736821842,1.1294736842105264,0.986046511627907,116.53348274311954,116.56408414830949,0.514035671084371,0.36675063576019146,0.6302987687898886,0.38307882658639125,0.6236099711017487,0.37639002889825135,0.5918367346938775,0.425531914893617,0.03177323640787111,-0.049141885995365675
1,1,Chi White Sox,I. Nova,R,Cleveland,T. Bauer,R,-260,230,CLE,CHW,3.67,4.71,3.78,4.84,97.11751355162839,108.20476108188582,124.25679274125943,167.30696440910017,0.4507032540997549,0.3671673620692325,0.7662337662337663,1.0909090909090908,0.9405940594059405,1.0396039603960396,105.94637841995824,129.1778538399232,0.9825396825396826,0.9838842975206611,106.3154716026783,164.61069514796176,0.49840894884014214,0.3908884093469869,0.6052887257471044,0.40438367806728154,0.6004525238399114,0.39954747616008857,0.7222222222222222,0.30303030303030304,-0.12176969838231078,0.09651717312978553
2,2,Seattle,F. Hernandez,R,NY Yankees,C. Sabathia,L,-145,135,NYY,SEA,4.74,3.74,4.31,4.34,136.12281267639705,113.94580860485594,142.96798217458854,151.0230579390512,0.5806487670890471,0.47494459504717296,0.9454545454545454,1.009090909090909,0.8482142857142857,1.0446428571428572,128.6979319849572,149.35048137881125,1.059860788863109,0.9170506912442397,120.76669459558747,138.49579967682575,0.5290676205206342,0.5344662674986671,0.5372588843656246,0.46233502442928276,0.5374619299681709,0.46253807003182906,0.5918367346938775,0.425531914893617,-0.05437480472570666,0.03700615513821204
3,3,Boston,J. Smith,R,Baltimore,J. Means,L,145,-155,BAL,BOS,,,5.47,3.61,114.19010841408421,176.95114113819074,124.41089781179595,102.15611498488315,0.3096926817173636,0.5892026857871526,0.9418604651162791,1.0232558139534884,0.8118811881188119,1.0495049504950495,107.55114862256768,130.56985314901357,,,,,,,,,,,0.40816326530612246,0.6078431372549019,,
4,4,Minnesota,M. Perez,L,Toronto,M. Stroman,R,-110,-100,TOR,MIN,3.98,4.6,4.89,4.6,104.34025519139355,109.84361667439735,136.43736898311118,123.54447424804574,0.47650161994594964,0.545289024388476,0.9310344827586207,1.0229885057471264,1.0625,0.9910714285714286,106.73888174751754,144.96470454455564,0.8883435582822086,1.0,97.57886929112108,123.54447424804574,0.5409569950065,0.572631810472535,0.5246402906822495,0.4730841968262319,0.5257780469280089,0.4742219530719912,0.5238095238095238,0.5,0.001968523118485055,-0.02577804692800878
5,5,Arizona,M. Kelly,R,Tampa Bay,B. Snell,L,-210,185,TBR,ARI,,4.32,3.61,3.84,133.61921425163035,91.97432090249627,131.8014432931264,98.7606190130901,0.6645142663040924,0.6290477177886226,0.847457627118644,1.0508474576271187,1.28,0.88,113.23662224714437,115.98527009795123,,1.0750000000000002,,106.16766543907188,,0.5403748504522575,,,,,0.6774193548387096,0.3508771929824561,,
6,6,Washington,M. Scherzer,R,Milwaukee,J. Chacin,R,-105,-105,MIL,WSN,6.28,2.81,4.85,3.77,130.51398679542217,155.43603093698874,131.22226044413867,128.08925415387228,0.4207245916304785,0.5110537827432623,1.0106382978723405,1.0,1.309278350515464,0.8969072164948454,130.51398679542217,117.69419235711406,1.1769072164948455,0.8472148541114058,182.93378651305812,108.51911877121168,0.35026188278805215,0.5370640974523144,0.42631777028395335,0.5568404179062619,0.4347386761888457,0.5652613238111543,0.5121951219512195,0.5121951219512195,-0.07745644576237382,0.053066201859934825
7,7,Philadelphia,V. Velasquez,R,St. Louis,M. Mikolas,R,-125,115,STL,PHI,4.95,4.52,4.39,4.44,143.39458311205522,129.99283265464157,127.6329374935563,140.3102667070609,0.5447700572130989,0.4567839061009485,0.9469026548672567,1.0176991150442478,1.0315789473684212,1.0,145.93254033527742,127.6329374935563,1.0765375854214123,1.0108108108108107,139.94217018811756,141.82713445524533,0.5191668052168854,0.45190556027517736,0.5774030541484081,0.4281381390587635,0.5746324575448223,0.4253675424551777,0.5555555555555556,0.46511627906976744,0.019076901989266704,-0.03974873661458972
8,8,Miami,S. Alcantara,R,Chi Cubs,C. Hamels,L,-280,250,CHC,MIA,3.12,6.08,3.53,4.62,129.57781789009226,84.35909424630007,71.87920072661217,126.0413580006471,0.6868501154968817,0.263516594185698,1.018348623853211,0.9908256880733946,0.5555555555555556,1.0793650793650793,131.95539253027744,77.58389919697821,0.9303116147308782,1.1896103896103898,78.48024518550976,149.9401089981724,0.7212959569202271,0.2304551239664869,0.818490936462166,0.22276698005074747,0.7978619782057093,0.20213802179429075,0.7368421052631579,0.2857142857142857,0.0610198729425514,-0.08357626391999495
9,9,Kansas City,J. Junis,R,Houston,G. Cole,R,-280,250,HOU,KCR,2.78,4.43,4.11,4.67,161.70585534747593,97.42909371787971,142.6726594154694,146.03121882155375,0.7165022126229055,0.48935671982465984,1.0588235294117647,0.9926470588235294,0.7425742574257426,1.108910891089109,160.51684170521509,158.21126588646115,0.8058394160583942,0.9691648822269807,78.51220398871475,141.5283289906536,0.7872980443914176,0.5508039220337289,0.6354387851430573,0.37870029413739564,0.6283692455028309,0.3716307544971692,0.7368421052631579,0.2857142857142857,-0.10847285976032695,0.0859164687828835
10,10,NY Mets,J. deGrom,R,San Diego,C. Paddack,R,105,-115,SDP,NYM,4.1,4.45,4.38,4.31,108.07763265871093,114.1004093496629,127.05973083320734,141.78243579696027,0.47521054886947284,0.4500089112049894,1.069767441860465,0.9767441860465116,1.36,0.91,105.56419934106648,115.62435505821868,0.9616438356164383,1.0194895591647333,109.72395529241554,144.54571296794512,0.48232571393315854,0.3992608090105694,0.5908799164810523,0.4166578489235481,0.5871110337787521,0.41288896622124793,0.4878048780487805,0.5348837209302325,0.09930615572997159,-0.12199475470898458
11,11,Atlanta,M. Fried,L,LA Dodgers,W. Buehler,R,-160,150,LAD,ATL,4.11,3.48,3.89,4.39,130.90090293888318,107.15353757915717,145.07140187439848,125.46484927136116,0.5905707768826588,0.5660410745819918,0.9607843137254902,1.0392156862745099,1.1682242990654206,0.9439252336448598,136.0342716815845,169.4759367691571,1.0339331619537275,0.875626423690205,110.78959592374554,109.8603372663126,0.5928238434096503,0.6885409504723028,0.4996623552788247,0.49436169735507535,0.5026503289618747,0.49734967103812533,0.6153846153846154,0.4,-0.11273428642274075,0.09734967103812531
